epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.604,1.10592,1.67644,1.41774,0.95092,0.94194,0.97979,0.81919,0.68212,0.41895,1.01432,0.00332623,0.00332623,0.00332623
2,839.662,0.99639,0.77253,1.33354,0.88647,0.8433,0.94588,0.81345,0.54523,0.64053,1.00472,0.00662659,0.00662659,0.00662659
3,1231.6,1.03477,0.86557,1.39134,0.43495,0.32674,0.29573,0.19406,1.77577,3.52454,2.2767,0.00989396,0.00989396,0.00989396
4,1613.48,1.04158,0.87744,1.39474,0.84696,0.81239,0.90079,0.67808,0.89904,0.91009,1.23443,0.0098515,0.0098515,0.0098515
5,1974.3,0.94962,0.76843,1.32598,0.92226,0.90899,0.95049,0.77855,0.72525,0.53964,1.10576,0.009802,0.009802,0.009802
6,2353.55,0.89107,0.71343,1.28999,0.98681,0.97014,0.98519,0.90304,0.43365,0.25746,0.87909,0.0097525,0.0097525,0.0097525
7,2796.03,0.83653,0.66521,1.24454,0.98583,0.97535,0.98618,0.9008,0.45271,0.2529,0.89724,0.009703,0.009703,0.009703
8,3179.68,0.80909,0.6433,1.22587,0.98372,0.97055,0.98514,0.9181,0.39674,0.2401,0.87598,0.0096535,0.0096535,0.0096535
9,3547.76,0.77736,0.61875,1.20458,0.99218,0.97751,0.98759,0.92955,0.36983,0.21247,0.83645,0.009604,0.009604,0.009604
10,3932.64,0.7612,0.59512,1.19125,0.99005,0.9762,0.98725,0.93192,0.3673,0.21276,0.84534,0.0095545,0.0095545,0.0095545
11,4333.38,0.74856,0.58789,1.17814,0.98839,0.98122,0.98833,0.94816,0.32019,0.19829,0.81971,0.009505,0.009505,0.009505
12,4748.7,0.7386,0.58411,1.17699,0.99472,0.97811,0.98844,0.95373,0.30567,0.18312,0.80316,0.0094555,0.0094555,0.0094555
13,5174.1,0.72246,0.56484,1.16547,0.98537,0.98444,0.9886,0.95281,0.31539,0.18376,0.81483,0.009406,0.009406,0.009406
14,5583.22,0.71713,0.56188,1.16366,0.99047,0.98602,0.98913,0.95441,0.31493,0.17611,0.80551,0.0093565,0.0093565,0.0093565
15,5991.57,0.71804,0.56665,1.15938,0.99028,0.98589,0.98884,0.95882,0.29358,0.16785,0.79433,0.009307,0.009307,0.009307
