epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.752,0.88271,3.63358,1.19816,0.91965,0.12063,0.69115,0.62972,0.41335,2.42654,0.79742,0.00327684,0.00327684,0.00327684
2,183.857,0.7148,1.60071,1.0378,0.97344,0.89582,0.97127,0.89065,0.39024,1.21622,0.79153,0.00658836,0.00658836,0.00658836
3,245.662,0.73162,1.19797,1.0317,0.90068,0.82734,0.9297,0.82534,0.47151,1.05674,0.83537,0.00987788,0.00987788,0.00987788
4,303.629,0.71962,0.8863,1.02578,0.93935,0.92752,0.97208,0.87664,0.44405,0.5056,0.8196,0.009901,0.009901,0.009901
5,361.825,0.67407,0.68136,1.01254,0.89781,0.78677,0.87312,0.76682,0.57463,0.81691,0.94939,0.009868,0.009868,0.009868
6,419.62,0.649,0.59289,1.00282,0.83625,0.79261,0.87193,0.76543,0.51591,0.84845,0.86902,0.009835,0.009835,0.009835
7,477.031,0.64131,0.56105,1.00207,0.88844,0.90023,0.96421,0.87213,0.43439,0.57122,0.83589,0.009802,0.009802,0.009802
8,533.611,0.63214,0.52815,1.00081,0.82473,0.65061,0.7323,0.64041,0.68556,1.15084,1.07897,0.009769,0.009769,0.009769
9,591.118,0.62596,0.52099,1.00253,0.9024,0.73979,0.89569,0.77509,0.56146,0.83827,0.90734,0.009736,0.009736,0.009736
10,648.579,0.62036,0.50449,0.99813,0.93297,0.93168,0.97262,0.9069,0.37015,0.44243,0.79746,0.009703,0.009703,0.009703
11,705.536,0.6118,0.49523,0.99511,0.97592,0.95869,0.98499,0.92323,0.36477,0.28441,0.79088,0.00967,0.00967,0.00967
12,762.551,0.60656,0.48811,0.99609,0.74848,0.43602,0.52504,0.45305,1.06765,1.93991,1.56898,0.009637,0.009637,0.009637
13,820.031,0.60269,0.48883,0.99454,0.87595,0.77784,0.87021,0.7545,0.62246,0.71517,0.99499,0.009604,0.009604,0.009604
14,876.095,0.6058,0.48223,1.00162,0.93896,0.91682,0.97076,0.89819,0.40086,0.39033,0.81729,0.009571,0.009571,0.009571
15,933.215,0.60059,0.48568,0.99563,0.92267,0.84808,0.90426,0.7821,0.57314,0.4964,0.96827,0.009538,0.009538,0.009538
16,990.263,0.59244,0.47931,0.99275,0.93229,0.86727,0.92917,0.82213,0.5133,0.55268,0.89457,0.009505,0.009505,0.009505
17,1047.9,0.59472,0.47754,0.99337,0.96,0.93335,0.97472,0.89457,0.41676,0.36393,0.82381,0.009472,0.009472,0.009472
18,1105.01,0.59557,0.47741,0.99569,0.83333,0.6998,0.76247,0.63487,0.7975,1.0399,1.15162,0.009439,0.009439,0.009439
19,1162.14,0.59134,0.46619,0.99596,0.80663,0.70043,0.81933,0.68536,0.67004,0.90682,1.02938,0.009406,0.009406,0.009406
20,1219.37,0.58608,0.46625,0.99263,0.90213,0.88648,0.9512,0.85129,0.45266,0.46022,0.85089,0.009373,0.009373,0.009373
21,1276.09,0.58618,0.46684,0.99409,0.94296,0.91859,0.97538,0.91271,0.36043,0.35041,0.7935,0.00934,0.00934,0.00934
22,1333.28,0.58257,0.46214,0.99217,0.94249,0.91063,0.96622,0.88743,0.41685,0.39567,0.8367,0.009307,0.009307,0.009307
23,1390.31,0.57852,0.46025,0.99235,0.9199,0.87577,0.93918,0.82685,0.52519,0.45132,0.88855,0.009274,0.009274,0.009274
24,1446.84,0.58483,0.45537,0.99333,0.87932,0.81076,0.89783,0.80144,0.50855,0.6208,0.90778,0.009241,0.009241,0.009241
25,1502.98,0.58036,0.45524,0.99093,0.92059,0.91158,0.97408,0.9092,0.36856,0.40057,0.79327,0.009208,0.009208,0.009208
26,1559.51,0.5846,0.45781,0.99428,0.89256,0.89025,0.96577,0.89711,0.38143,0.49547,0.80413,0.009175,0.009175,0.009175
27,1616.59,0.576,0.45548,0.99139,0.89844,0.85612,0.94898,0.86147,0.42253,0.5277,0.82767,0.009142,0.009142,0.009142
