epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.658,0.79895,2.48455,1.16168,0.96602,0.96401,0.98143,0.93851,0.30379,0.23883,0.75418,0.00330508,0.00330508,0.00330508
2,183.308,0.61552,0.56385,1.03154,0.9735,0.95758,0.98289,0.92278,0.34744,0.2867,0.78992,0.00661651,0.00661651,0.00661651
3,261.366,0.65226,0.56939,1.06463,0.74368,0.67636,0.75387,0.65605,0.5204,1.43828,0.92403,0.00990594,0.00990594,0.00990594
4,338.326,0.66483,0.56801,1.07139,0.90516,0.85526,0.9349,0.81863,0.49004,0.54195,0.88855,0.009901,0.009901,0.009901
5,414.454,0.63683,0.5316,1.06132,0.76122,0.57789,0.64596,0.51536,0.8574,1.51696,1.25227,0.009868,0.009868,0.009868
6,491.236,0.61767,0.51439,1.04882,0.92544,0.86443,0.93258,0.82448,0.49299,0.50116,0.89645,0.009835,0.009835,0.009835
7,568.575,0.60538,0.49769,1.04082,0.76663,0.52143,0.64397,0.54211,0.74295,1.73747,1.2136,0.009802,0.009802,0.009802
8,644.973,0.59346,0.48404,1.03576,0.89907,0.8407,0.92697,0.84249,0.43212,0.53772,0.84855,0.009769,0.009769,0.009769
9,722.732,0.58572,0.47566,1.03357,0.83688,0.53568,0.66159,0.55326,0.75498,1.68879,1.0864,0.009736,0.009736,0.009736
10,799.817,0.58209,0.46512,1.0284,0.96639,0.93234,0.97428,0.90702,0.36835,0.29437,0.81108,0.009703,0.009703,0.009703
11,877.57,0.57395,0.45949,1.02285,0.93826,0.90195,0.95698,0.87842,0.40408,0.37426,0.83007,0.00967,0.00967,0.00967
12,954.225,0.57685,0.4576,1.02572,0.86518,0.59702,0.67139,0.58993,0.76835,1.15241,1.22906,0.009637,0.009637,0.009637
13,1031.51,0.56483,0.44284,1.01619,0.98016,0.9673,0.98554,0.93846,0.32079,0.23736,0.7695,0.009604,0.009604,0.009604
14,1108.59,0.55741,0.44376,1.01427,0.95746,0.94844,0.97826,0.93814,0.30516,0.28866,0.76272,0.009571,0.009571,0.009571
